Plant species	Acacia brevispica	Acalypha psilostachya	Acanthus sp.	Achyranthes aspera	Achyrospermum schimperi	Acmella caulirhiza	Adenostemma mauritianum	Aerangis brachycarpa	Aerangis luteo-alba	Aframomum corrorima	Ageratum conyzoides	Agrocharis melanantha	Agrumularia sp.	Ajuga leucantha	Alchemilla sp.	Alternanthera sessilis	Amaranthus dubius	Aneilema aequinoctiale	Annona senegalensis	Ardisiandra sibthorpioides	Arisaema schimperianum	Arthopteris orientalis/monocarpa	Asparagus africanus	Asparagus racemosus	Asplenium aethiopicum	Asplenium bugoiense	Asplenium erectum	Asplenium mannii	Asplenium sandersonii	Asplenium smedsii	Asplenium theciferum	Barleria ventricosa	Bidens pilosa	Bidens prestinaria	Brugmansia suaveolens	Bulbophyllum josephii	Canna indica	Capparis tomentosa	Cardamine africana	Carduus leptacanthus	Carex sp.	Caryophylaceae (unidentified sp.1)	Celosia anthelminthica	Celosia schweinfurthiana	Celosia trigyna	Centella asiatica	Ceropegia sp.	Cheilanthes bergiana	Chlorophytum comosum	Cissampelos mucronata	Clematis hirsuta	Clematis longicauda	Clematis simensis	Clerodendrum myricoides	Climber (Asteracea)	Colocasia esculenta	Combretum paniculatum	Commelina africana	Commelina benghalensis	Commelina cf. Zambesica	Commelina diffusa	Commelina imberbis	Commelina latifolia	Commelina sp.	Conyza sp.	Crassocephalum sp. (distinct)	Crassocephalurn rubens	Crassula alsinoides	Crotalaria sp.	Cuscuta sp.	Cyathula prostrata	Cyathula uncinulata	Cynodon dactylon	Cynoglossum amplifolium	Cynoglossum coeruleum	Cynoglossum lanceolatum	Cyperus sp.	Cyphostemma adenocaule	Dalbergia lactea	Desmodium repandum	Desmodium uncinatum	Diaphananthe adoxa/tenuicalar	Dichondra repens	Dicrocephala integrifolia	Dicrocephala sp. (distinct)	Digitaria abyssinica	Digitaria sp. (distinct)	Dioscorea alata	Dioscorea schimperiana	Dolichos sp.	Dorstenia brownii	Doryopteris concolor	Dregea schimperi	Droguetia iners	Drymaria cordata	Drynaria volkensii	Elatostema monticolum	Eleusine floccifolia	Englerina woodfordioides	Eragrostis sp.	Euphorbia schimperiana	Fimbristylis sp.	Galinsoga parviflora	Galium sp.	Geranium arabicum	Girardinia diversifolia	Gloriosa superba	Glycine wightii	Gouania longispicata	Grass (with cordate leaf base)	Grewia ferruginea	Guizotia scabra	Habenaria sp.	Hibiscus sp.	Hippocratea africana	Huperzia dacrydioides	Hydrocotyle mannii	Hymenophyllum sp.	Hypoestes triflora/forescalli	Impatiens hochstetteri	Impatiens tinctoria	Indigofera spicata	Ipomoea purpurea	Jasminum abyssinicum	Justicia ladanoides	Justicia sp.	Kalanchoe laciniata	Kohautia coccinea	Kosteletzkya adoensis	Kosteletzkya begoniifolia	Lagenaria sp.	Laggera crispata	Landolphia buchananii	Lepisorus excavata	Leucas deflexa	Liparis deistelii	Lobelia sp.	Loxogramme abyssinica	Maytenus sp.	Microcoelia globulosa	Momordica foetida	Monopsis stellarioides	Nephrolepis undulata	Nervilia bicarinata	Nicandra physaloides	Ocimum lamiifolium	Oldenlandia sp.	Oleandra distenta	Oplismenus compositus	Oplismenus hirtellus	Oreosyce africana	Oxalis radicosa	Panicum atrosanguineum	Panicum maximum	Panicum sp. (distinct)	Paspalum scrobiculatum	Pavetta oliveriana	Pavonia urens	Pellaea viridis	Pentas lanceolata	Peperomia abyssinica	Peperomia tetraphylla	Peponium vogelii	Persicaria nepalensis	Persicaria setosula	Phaulopsis imbricata	Phyllanthus cf. leucanthus	Phyllanthus fischeri	Phyllanthus ovalifolius	Phyllanthus pseudoniruri	Phyllanthus sp.	Phyllanthus sp. (distinct)	Physalis ixocarpa	Physalis peruviana	Pilea rivularis	Pilea tetraphylla	Plectranthus sp.	Pleopeltis macrocarpa	Plumbago montis-elgonis	Poecilostachys oplismenoides	Polinia pinnata	Polystachya bennetiana/rivae	Polystachya candida	Polystachya cf. Aetiopica	Polystachya cultriformis	Polystachya eurychila	Polystichum transvaalense	Pouzolzia parasitica	Pseudechinolaena polystachya	Pteridium aquilinum	Pteris dentata/pterioides	Pterolobium stellatum	Pyrrosia schimperiana	Ranunculus multifidus	Ricinus communis	Rubus apetalus	Rubus sp. (distinct)	Rumex nepalensis	Salvia nilotica	Sanicula elata	Satureja paradoxa	Sauromatum venosum	Scadoxus multiflorus	Secamone parvifolia	Selaginella sp.	Senecio sp.	Setaria megaphylla	Setaria pumila	Sida rhombifolia	Sida sp. (distinct)	Solanecio gigas	Solanecio mannii	Solanecio sp. (distinct)	Solanum anguivi	Solanum giganteum	Solanum nigrum	Spermacoce sphaerostigma	Stachys sp.	Stellaria mannii	Stephania abyssinica	Stolzia sp.	Stylochaeton sp.	Tacazzea apiculata	Tacca leontopetaloides	Tagetes minuta	Tectaria gemmifera	Thalictrum rhynchocarpum	Thelypteris sp.	Thunbergia alata	Tiliacora troupinii	Tragia brevipes	Trifolium sp.	Tristemma mauritianum	Triumfetta brachyceras	Urera hypselodendron	Wahlenbergia krebsii	Vernonia hochstetteri	Vernonia sp.	Veronica abyssinica	Vigna sp.	Viola abyssinica	Vittaria guineensis	Zehneria scabra	Species_richness
Ge30				9							9											9	1	1	5				5				5	5					5	1									5	1																										1	5			5			1													9							9												1		9			5							5					5							5											5		5		5				5			9	5		5				5									5					1			5									1				5		1													5	5					5								5																	43
Ge4				5			5				5									1		5			5						5		5	5					5																											1										5				1			1												5	9							5												1	1	5			9												1	1	5				5			1									5	1	5						1			5	5	1													5		5																						5			1						1				5			1			1																									41
Ge5				5			1								1					5		9	1		5				1	1		1	5	5					9			1				5	1					1																5								1								1											5	9	9				1		9														5		1	5													1	5		1		5	1													5						1		1	5	5		5				1						1		9		5				5																					1		1							1	1			1			5								1									5								52
Ge6				9			5				9			1								5			1						1		5						5	1																								5				9												5		1												5	5	5							5		1												9		5	9						5				1		1		1				5	1											5	1	5						1			1	1		5				1								5	5					1									5							1		5									5					1		1			9							1	1					1												49
Ge7				9				1	1		5											9			1				1		1		1			1			5	1						1				1							1																			5	1			9		1													1	9							5											1		1	5			5							1						1	1																5				1				5			5	1						1						1		1	9	5				1		1	1	5			5		1						1			9		1											5	5					1						1	1	5																	54
Ge8				5			1		1	5	9											5							5		5								1	1							1		1																											1				5			5												1	5																					5			9					5								1	5				5	1											9	1	5						5		5	5	5						1									5	5		5					1						1									9		1											1													1	1				1							5						44
Ge9				5							5				1					1		5			1								1									1				5					1										5							9									5			5			5				5							1		5		1		1			5		1												5		5	5													1																											1	5															5																								5					5																															5			1					33
Go1				5							5							1							1								5					1	5																	5			5	5		1														5	1			5			5												5	1							1					1												5					5		5																		5					9	5								1						5			1														1						1					1		1														5																																			33
Go10			5	9		5	5																		5						1		9						5								1													5			5								1					1	5	5		5			5													9							5	1		5														9			1			9	5							5															5		5	5		5				1				5		5												1						1						1	5				9																5					1													1							5										42
Go11				5			1				9											9			5						5		5	9			1		1	1																						5	5				1																			1									5	9							5					1		1										9							5			1		1		5				5										1		5	5	1									5			5				1								1	1	5						1					5																	1			5							1			5					1		1	1							5										46
Go12				5							1											9			5			9	5		1		5	9					1																								1																			1													1	9							5																	9														5				5		1										9											9	5														1	9					1			1				5																	5													5					1			5							1										32
Go13				9							5														1						5		9				9													1										5						1						1								5																9							5			5		1												5						5					1	1		5																9	1							5			5	5														1	5																9																5																				1		1			5										32
Go14	1			9		1	5	1			5											9			5								5	5					5	1																	1						5	1			1					1				1	5		1	9	1															9					5		5			5			1											9						9	1			1				5				5												9	1	5		1				5					1										1	1		1	5												5		1									5						5	5		5					1													5							5										52
Go15				5			5															5			5						5		9	5					1																								5				1															1	5													5							1			9				5										9														1						1										5											1	1															9	5				1											5																					1					1								1							5										30
Go16				9				1			5														5						5		9											1																				5																1																5							5			5														9							1							5				1												5	1				5			5			5	5															9		1			1											5									1												5										5			1							5										31
Go17		1		5				1			5							5	1			1			5						5		5	5					1				1																				5									1								1		1													5	5							5			9														9						5				1		1		5				5												9	1							1			5	5															5					1											5									5							1						1	1								1			1							5										42
Go18				5							5											9			5						1		9	5															1														5				1				1		5							1		1	5											1	5	9							5			1											5			9	1													5				5												5		1						1				5		5								1				1	9	5				5													1														5										1								1	1						1					1					42
Go19				9				1			5											9							5		5		9						1																									5														1		5		1	1												5	9							5																	9						5					5																			9				5				5	1	1		5						1										5											5				5																5					1													5							5										33
Go2				9							5														1								9																								1						5					1								5				1	1															1							5																	9					5		5							1				1													1			5				1		1	9	5						5									9	1		9	5	1														1						1							9					5												5	5							1										36
Go20				9		1		1			5														5						9		9						5																																	1					5			5															5	9					5		5		1									1			5			9						5						1						1												9		1						5			9							1								1		9				1									1				1					1																			5								5				1			9										37
Go21				5			5															9			5			5			5		9						5										1														5			5									1		5			5		1	5												5	9					1		5			5														9														5				5												9	1	5		5				5		1	9	5															9					1							5		1		5														5		1				5	1												5	5							5										44
Go22				5							5											9			5						5		9							1														1										5											1					1		5													1	9							5													1				9														5																9	1				5						5	5						1									9					5									1		5																															1		5	1							5										32
Go23				5			5	1			5														1								9	9					5											1													1								5				1			1					5																				5														5			5										1				1																5	5	1						1		1				5				1									5	1											5																																						5																	30
Go24				5			5				5														5						5		9						5								5																5								5				1			5		5			1													5					1		5																9								1			1				5	1			5		1										9	1	5						1			5	5						1						1				1				1							5				5									1							5					1								1		1			1							1				1						44
Go25			9	9																					5						5		9	5				1	1															1									5								5					1		9		5																5							9								1									5														5					1											5		5						1			5	5						1								1	9					1											5																5					1									1	1							5			5									1	37
Go26																		5							1								9																											5			5	5														1					1				1																																	5			1				5							1	1										5					9	1	5												5				1									1	1															1																																									5										24
Go27				5							5											5			1						5		9						5																					5			5								5																									5																								5						5	1																							9		5												5				1								1		5															5																																																			21
Go28											9						5					1											5	5					5							9			9														1								1					1	1										1	1								1	5						5					1												9		1					1			1		1			5		5		5											5		5						1		5				5				1								5						1											5																				1																															36
Go29				1							5					1						5											1						1						1																			5		1					1					1	1					1														1							1												1					5		1						1						1			1													1		1												1				1								5						1											5																																																			28
Go3											9											5											5						5						5	9													9				9				1										1	1			1	1	5													5	9	5					5					1														9			1		5							5																	1										1	5			5			1								5												5					5																																																			31
Go30				5							5																						5	5					5											1														5		1					1					5	1	5			5		5													1							5																	1						5	5			1					1															9		5								1					5			5						1		1						1											1																1					1										1			5							1										35
Go4				1																		1								5			9	5					1																								5															1		5								1	5			1			5	1							5			5				1										9							5							5											1					9		5						1										5								1	9																5																5					1													1	1						5				1					1	35
Go5				9			5	1														9			5				1		5		5																														5				1					1								5		1	5													9					1					5											5			9														5				9												9	5	5						5			5	5															9																5									1							5				5	1													5				1			5						1				37
Go6				9							5											9			5								9						5																					1		1	1				5					1				5	1	1			1		5	1											5	9					1		5																	9						9	5				1			5											1					9		5						5		5	1			5										1			5	5				5							5				9																5														1								1			5						1				44
Go7																									1														1																								5																																	1																								1							1										1															1									1	1														1		1				1											1																																															1				15
Go8											5											5			1								5						5						5	1		1														9														1	5	1					1				1					1		5		5		5										1												5		5					1	5		1							5						1									5								1		1		9				1								1		1				1	1										5																																									1					1					38
Go9																						1			1						1		9	1					1											1													5													1	1	1																		9							5																	9														1																9		5									1									1							1	1				1											5														5																1				1																	26
