Bryo_Species	Ge1	Ge10	Ge11	Ge12	Ge13	Ge14	Ge15	Ge16	Ge17	Ge18	Ge19	Ge2	Ge20	Ge21	Ge22	Ge23	Ge24	Ge25	Ge26	Ge27	Ge28	Ge29	Ge3	Ge30	Ge4	Ge5	Ge6	Ge7	Ge8	Ge9	Go1	Go10	Go11	Go12	Go13	Go14	Go15	Go16	Go17	Go18	Go19	Go2	Go20	Go21	Go22	Go23	Go24	Go25	Go26	Go27	Go28	Go29	Go3	Go30	Go4	Go5	Go6	Go7	Go8	Go9
Macromitrium sulcatum	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metzgeria sp_	0.4	0.5	0.4	0.166666667	0	0.428571429	0.4	0.166666667	0.333333333	0.5	0.333333333	0.555555556	0.25	0.75	0.111111111	0.375	0.2	0.5	0.285714286	0.333333333	0.090909091	0.4	0.571428571	0.4	0.125	0.166666667	0	0.6	0.1	0.5	0	0	0.333333333	0.272727273	0	0	0.2	0.2	0.666666667	0.285714286	0.4	0.5	0.1	0.25	0.2	0	0.125	0	0.166666667	0	0.142857143	0	0	0.111111111	0.2	0.375	0.090909091	0	0	0
Microlejeunea africana	0.1	0	0	0	0	0.142857143	0	0	0	0.125	0	0	0	0	0	0.125	0	0	0.142857143	0.166666667	0	0	0.714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neckera sp_	0.3	0	0.2	0.333333333	0	0.142857143	0.2	0.333333333	0.111111111	0.5	0.666666667	0.555555556	0.5	0.125	0.333333333	0	0.2	0.333333333	0.142857143	0	0.090909091	0.2	0.142857143	0.4	0	0	0.333333333	0.8	0.1	0	0	0	0.333333333	0.181818182	0	0.166666667	0.5	0.2	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orthostichella welwichi	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orthotrichum aequatoreum	0	0	0	0.166666667	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0
Orthotrichum firmum	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orthostichella capillicaulis	0.8	0.5	0.2	0.5	0	0.142857143	0.2	0.833333333	0.666666667	0.25	1	0.777777778	0.375	0.5	0.666666667	1	0.6	0.666666667	0.428571429	0.666666667	0.909090909	1	0.571428571	0.8	0.375	0.333333333	0.166666667	0.8	1	0.5	0	0	0.333333333	0.636363636	0.142857143	0.333333333	0.6	0.8	0.666666667	0.714285714	0.2	1	0.1	0.375	0.4	0	0.75	0.8	0.166666667	0	0.142857143	0.142857143	0	0.444444444	0.4	0.5	0.454545455	0	0.1	0
Papillaria africana	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelekium sp_	0.2	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plagiochila fusifera/kiaeria	0.2	0.25	0	0.166666667	0	0	0	0.5	0	0.125	0.166666667	0.333333333	0.25	0.25	0.555555556	0	0	0.166666667	0	0	0	0.3	0	0.4	0.125	0	0.333333333	0	0	0.5	0	0	0.222222222	0	0.285714286	0.166666667	0.2	0	0.111111111	0.142857143	0	0	0.1	0.125	0	0	0.125	0.2	0.166666667	0.4	0.142857143	0.285714286	0	0.222222222	0	0.125	0.181818182	0	0.8	0
Plagiochila squamulosa	0.1	0.25	0.2	0.666666667	0.333333333	0	0.2	0.333333333	0.333333333	0.875	0.666666667	0.888888889	1	0.75	0.444444444	0.125	0.6	0.166666667	0.285714286	0.166666667	0.181818182	0.4	0	0.4	0.125	0	0.833333333	0.4	0	0	0.777777778	0.8	0.777777778	0.636363636	0.714285714	0.5	0.7	0.2	0.666666667	0.714285714	0.4	0.5	0.5	0.625	0.6	0.666666667	0.375	0	0.333333333	0.8	0.285714286	0.142857143	0.4	0.222222222	0.8	1	0.727272727	0.285714286	0	1
Porella abyssinica	0	0.125	0.1	0	0	0	0	0	0	0	0	0.111111111	0	0	0.111111111	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0
